"FULL_NAME","JOB_TITLE","DEPARTMENT_NAME","HIRE_DATE","SALARY","YEARS_OF_SERVICE"
"William Gietz","Public Accountant","Accounting","2012-06-07T00:00:00Z",8300,13
"Shelley Higgins","Accounting Manager","Accounting","2012-06-07T00:00:00Z",12008,13
"Jennifer Whalen","Administration Assistant","Administration","2013-09-17T00:00:00Z",4400,12
"Steven King","President","Executive","2013-06-17T00:00:00Z",24000,12
"Lex Garcia","Administration Vice President","Executive","2011-01-13T00:00:00Z",17000,14
"Neena Yang","Administration Vice President","Executive","2015-09-21T00:00:00Z",17000,10
"John Chen","Accountant","Finance","2015-09-28T00:00:00Z",8200,10
"Daniel Faviet","Accountant","Finance","2012-08-16T00:00:00Z",9000,13
"Luis Popp","Accountant","Finance","2017-12-07T00:00:00Z",6900,7
"Ismael Sciarra","Accountant","Finance","2015-09-30T00:00:00Z",7700,10
"Jose Manuel Urman","Accountant","Finance","2016-03-07T00:00:00Z",7800,9
"Nancy Gruenberg","Finance Manager","Finance","2012-08-17T00:00:00Z",12008,13
"Susan Jacobs","Human Resources Representative","Human Resources","2012-06-07T00:00:00Z",6500,13
"Alexander James","Programmer","IT","2016-01-03T00:00:00Z",9000,9
"Bruce Miller","Programmer","IT","2017-05-21T00:00:00Z",6000,8
"Diana Nguyen","Programmer","IT","2017-02-07T00:00:00Z",4200,8
"Valli Jackson","Programmer","IT","2016-02-05T00:00:00Z",4800,9
"David Williams","Programmer","IT","2015-06-25T00:00:00Z",4800,10
"Michael Martinez","Marketing Manager","Marketing","2014-02-17T00:00:00Z",13000,11
"Pat Davis","Marketing Representative","Marketing","2015-08-17T00:00:00Z",6000,10
"Hermann Brown","Public Relations Representative","Public Relations","2012-06-07T00:00:00Z",10000,13
"Shelli Baida","Purchasing Clerk","Purchasing","2015-12-24T00:00:00Z",2900,9
"Alexander Khoo","Purchasing Clerk","Purchasing","2013-05-18T00:00:00Z",3100,12
"Sigal Tobias","Purchasing Clerk","Purchasing","2015-07-24T00:00:00Z",2800,10
"Guy Himuro","Purchasing Clerk","Purchasing","2016-11-15T00:00:00Z",2600,8
"Karen Colmenares","Purchasing Clerk","Purchasing","2017-08-10T00:00:00Z",2500,8
"Den Li","Purchasing Manager","Purchasing","2012-12-07T00:00:00Z",11000,12
"Gerald Cambrault","Sales Manager","Sales","2017-10-15T00:00:00Z",11000,8
"Alberto Errazuriz","Sales Manager","Sales","2015-03-10T00:00:00Z",12000,10
"Karen Partners","Sales Manager","Sales","2015-01-05T00:00:00Z",13500,10
